조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,부산,입항환적,총계,10787778,66014.0,105854.0,30073.0,33899.0,308268.0,13565.0,11041.0,295906.0,435.0,227.0,329.0,2952.0,1033.0,119887.0,137.0,15418.0,74.0,37326.0,526748.0,678497.0,61064.0,33810.0,546352.0,3144578.0,63045.0,474995.0,317780.0,770777.0,696298.0,561355.0,27230.0,1842811.0
2017,1,부산,출항환적,국적선,1007120,1836.0,8688.0,783.0,3800.0,41317.0,750.0,441.0,42028.0,137.0,49.0,88.0,313.0,0.0,23625.0,0.0,657.0,0.0,8820.0,64156.0,62844.0,3295.0,1372.0,72204.0,306220.0,407.0,33714.0,21082.0,53554.0,23775.0,16632.0,523.0,214010.0
2017,1,부산,출항환적,외국선,6841939,58512.0,95906.0,36135.0,24534.0,227763.0,9596.0,9622.0,232182.0,278.0,86.0,79.0,614.0,128.0,85652.0,47.0,16646.0,44.0,24886.0,402237.0,485927.0,45866.0,27546.0,410460.0,1323878.0,45068.0,369432.0,253105.0,575622.0,233589.0,296742.0,20010.0,1529747.0
2017,1,부산,출항환적,수출입계,7849059,60348.0,104594.0,36918.0,28334.0,269080.0,10346.0,10063.0,274210.0,415.0,135.0,167.0,927.0,128.0,109277.0,47.0,17303.0,44.0,33706.0,466393.0,548771.0,49161.0,28918.0,482664.0,1630098.0,45475.0,403146.0,274187.0,629176.0,257364.0,313374.0,20533.0,1743757.0
2017,1,부산,출항환적,연안선,1545465,0.0,75.0,1080.0,601.0,22047.0,529.0,45.0,14009.0,0.0,0.0,0.0,1927.0,0.0,578.0,0.0,829.0,0.0,41.0,7286.0,97187.0,46.0,460.0,246835.0,174780.0,1131.0,5937.0,60310.0,34600.0,5803.0,358851.0,39668.0,470810.0
2017,1,부산,출항환적,총계,9394524,60348.0,104669.0,37998.0,28935.0,291127.0,10875.0,10108.0,288219.0,415.0,135.0,167.0,2854.0,128.0,109855.0,47.0,18132.0,44.0,33747.0,473679.0,645958.0,49207.0,29378.0,729499.0,1804878.0,46606.0,409083.0,334497.0,663776.0,263167.0,672225.0,60201.0,2214567.0
2017,1,인천,입항,국적선,771750,1173.0,576.0,33188.0,60.0,8038.0,7185.0,0.0,2020.0,121.0,0.0,0.0,42310.0,0.0,3721.0,0.0,233.0,109606.0,2869.0,13944.0,9578.0,11594.0,0.0,8945.0,318463.0,393.0,59878.0,4841.0,7201.0,89106.0,1400.0,109.0,35198.0
2017,1,인천,입항,외국선,9569062,170.0,6741.0,234117.0,357.0,155990.0,14320.0,89489.0,235581.0,4473.0,245.0,181214.0,1437555.0,2627.0,103615.0,925983.0,1292.0,3326448.0,35912.0,120204.0,45812.0,77222.0,160067.0,105188.0,956042.0,75928.0,486803.0,53075.0,82029.0,373455.0,25445.0,1765.0,249898.0
2017,1,인천,입항,수출입계,10340812,1343.0,7317.0,267305.0,417.0,164028.0,21505.0,89489.0,237601.0,4594.0,245.0,181214.0,1479865.0,2627.0,107336.0,925983.0,1525.0,3436054.0,38781.0,134148.0,55390.0,88816.0,160067.0,114133.0,1274505.0,76321.0,546681.0,57916.0,89230.0,462561.0,26845.0,1874.0,285096.0
2017,1,인천,입항,연안선,2578425,0.0,0.0,105.0,0.0,30.0,15.0,0.0,689.0,292127.0,1187036.0,0.0,0.0,0.0,106285.0,0.0,891779.0,15172.0,22.0,13830.0,337.0,0.0,0.0,7570.0,16470.0,15025.0,14372.0,232.0,1543.0,118.0,11101.0,419.0,4148.0
